unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
4452293,HL749117,2005-11-22 01:57:00+00:00,005XX W MADISON ST,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,False,False,111,1,42,28,04A,1172573.0,1900294.0,2005,2018-02-28 15:56:25+00:00,41.881847601,-87.641772074,"(41.881847601, -87.641772074)"
11501892,JB508724,2018-11-08 16:54:00+00:00,001XX N STATE ST,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,CTA TRAIN,False,False,111,1,42,32,04A,1176330.0,1901649.0,2018,2018-11-15 16:16:06+00:00,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
13711007,JJ103620,2025-01-04 10:38:00+00:00,001XX N WABASH AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SMALL RETAIL STORE,False,False,111,1,34,32,04A,1176797.0,1901081.0,2025,2025-11-02 15:41:09+00:00,41.883912722,-87.626237983,"(41.883912722, -87.626237983)"
2248203,HH518095,2002-07-18 09:05:00+00:00,005XX W MADISON ST,0553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,SIDEWALK,False,False,111,1,2,28,04A,1173039.0,1900311.0,2002,2018-02-28 15:56:25+00:00,41.881883933,-87.640060441,"(41.881883933, -87.640060441)"
11836040,JC442363,2019-09-21 08:30:00+00:00,0000X E RANDOLPH ST,0560,ASSAULT,SIMPLE,ATHLETIC CLUB,False,False,111,1,42,32,08A,1176904.0,1901295.0,2019,2019-09-28 15:41:37+00:00,41.884497529,-87.625838595,"(41.884497529, -87.625838595)"
5325057,HN184911,2007-02-19 16:23:43+00:00,001XX S CLINTON ST,0560,ASSAULT,SIMPLE,BANK,False,False,111,1,2,28,08A,1172752.0,1899627.0,2007,2018-02-10 15:50:01+00:00,41.88001335,-87.641134549,"(41.88001335, -87.641134549)"
13245487,JG466388,2023-10-16 19:20:00+00:00,001XX N MICHIGAN AVE,0560,ASSAULT,SIMPLE,STREET,False,False,111,1,34,32,08A,1177276.0,1901405.0,2023,2023-10-24 15:41:36+00:00,41.884790951,-87.624469241,"(41.884790951, -87.624469241)"
2836756,HJ499872,2003-07-11 15:15:00+00:00,0000X S WACKER DR,0560,ASSAULT,SIMPLE,SIDEWALK,False,True,111,1,2,32,08A,1173874.0,1900074.0,2003,2018-02-28 15:56:25+00:00,41.88121504,-87.637001425,"(41.88121504, -87.637001425)"
2871049,HJ532051,2003-07-31 20:32:47+00:00,001XX S RIVERSIDE PLZ,0560,ASSAULT,SIMPLE,RESTAURANT,True,False,111,1,2,28,08A,1173421.0,1899683.0,2003,2018-02-28 15:56:25+00:00,41.880152185,-87.638676422,"(41.880152185, -87.638676422)"
12750350,JF304478,2022-07-03 23:25:00+00:00,002XX N WABASH AVE,0560,ASSAULT,SIMPLE,STREET,False,False,111,1,42,32,08A,1176777.0,1901808.0,2022,2023-01-03 15:40:27+00:00,41.885908101,-87.626289429,"(41.885908101, -87.626289429)"
